state,collectorCode,herbariumUse,code,priority,notes
AK,AK930,Regional,UAAH,1,
AK,AK930,Local,BLM-Alaska,1,
AK,AK040,Regional,ALA,1,
AK,AK040,Local,BLM-Anchorage,1,
AK,AK025,Regional,ALA,1,
AK,AK025,Local,BLM-KOTZEBUE-FIELDSTATION,1,
AZ,AZ*,Regional,ASU,1,Regional for all of arizona. 
AZ,AZ930,Local,BLM-Phoenix,1,
AZ,AZ*,Local,DES,1,"Local for all of arizona, without office herbarium"
AZ,AZ010,Regional,ASU,1,
AZ,AZ010,Local,BLM-ArizonaStrip,1,
AZ,AZ100,Local,BLM-ArizonaStrip,1,
CA,CA160,Regional,JEPS,1,
CA,CA160,Local,BLM-Bakersfield,1,
CA,CA169,Regional,JEPS,1,
CA,CA169,Local,BLM-GoodwinEducationCenter,1,
CA,CA170,Regional,RSA,1,
CA,CA170,Local,BLM-Bishop,1,
CA,CA180,Regional,JEPS,1,
CA,CA180,Local,DAV,1,
CA,CA190,Regional,JEPS,1,
CA,CA190,Local,,,
CA,CA320,Regional,JEPS,1,
CA,CA320,Local,,,
CA,CA330,Regional,HSC,1,
CA,CA330,Local,BLM-Arcata,1,
CA,CA340,Regional,JEPS,1,
CA,CA340,Local,DAV,1,
CA,CA350,Regional,JEPS,1,
CA,CA350,Local,BLM-EagleLake,1,
CA,CA360,Regional,CHSC,1,
CA,CA360,Local,BLM-Redding,1,
CA,CA370,Regional,JEPS,1,
CA,CA370,Local,,,
CA,CA370,Regional,JEPS,1,
CA,CA370,Local,,,
CA,CA650,Regional,RSA,1,
CA,CA650,Local,,,
CA,CA690,Regional,JEPS,1,
CA,CA690,Local,,,
CA,CA930,Regional,JEPS,1,
CA,CA930,Local,,,
IL,CBG,Regional,CHIC,1,
IL,,Local,,,
CO,CO*,Regional,COLO,1,
CO,CO*,Regional,RM,2,
CO,CO*,Regional,CS,3,
CO,CO130,Local,BLM-GrandJunction,1,
CO,CO150,Local,BLM-Uncompahgre,1,
,FWS0201,Regional,ASU,1,
,FWS0201,Local,DES,1,
,FWS0202,Regional,NMC,1,
,FWS0202,Local,,,
,FWS0300,Regional,CHIC,1,
,FWS0300,Local,CHIC,1,
,FWS0400,Regional,APSC,1,
,FWS0400,Local,APSC,1,
,FWS0401,Regional,APSC,1,
,FWS0401,Local,GA,1,
,FWS0402,Regional,APSC,1,
,FWS0402,Local,UARK,1,
,FWS0403,Regional,APSC,1,
,FWS0403,Local,ICHAUWAY,1,
,FWS0404,Regional,APSC,1,
,FWS0404,Local,NCU,1,
,FWS0800,Regional,RENO,1,
,FWS0800,Local,AUSTIN,1,
ID,ID070,Regional,IDS,1,
ID,ID070,Local,,,
ID,ID080,Regional,ID,1,
ID,ID080,Local,,,
ID,ID090,Regional,SRP,1,
ID,ID090,Local,BLM-Boise,1,
,LBJWC,Regional,TEX,1,
,LBJWC,Local,,,
MT,MT030,Regional,NDA,1,
MT,MT030,Local,DICKINSON,1,
MT,MT923,Local,MONT,1,
MT,MT923,Regional,MONTU,2,
MT,MT923,Local,SDC,3,
NV,NV030,Regional,RENO,1,
NV,NV030,Local,BLM-LasVegas,1,
NV,NV052,Regional,RENO,1,
NV,NV052,Local,BLM-LasVegas,1,
NV,NV930,Regional,RENO,1,
NV,NV930,Local,BLM-LasVegas,1,
OR,OR010,Regional,OSC,1,
OR,OR010,Local,,,
OR,OR014,Regional,OSC,1,
OR,OR014,Local,,,
OR,OR020,Regional,OSC,1,
OR,OR020,Local,BLM-Burns,1,
OR,OR030,Regional,OSC,1,
OR,OR030,Local,CIC,1,
OR,OR050,Regional,OSC,1,
OR,OR050,Local,,,
OR,OR080,Regional,OSC,1,
OR,OR080,Local,,,
OR,OR090,Regional,OSC,1,
OR,OR090,Local,,,
OR,OR100,Regional,OSC,1,
OR,OR100,Local,,,
OR,OR110,Regional,OSC,1,
OR,OR110,Local,,,
OR,OR120,Regional,OSC,1,
OR,OR120,Local,,,
OR,OR130,Regional,WTU,1,
OR,OR130,Local,BLM-Wenatchee,1,
OR,OR134,Regional,WTU,1,
OR,OR134,Local,BLM-Wenatchee,1,
UT,UT931,Regional,BRY,1,
UT,UT931,Local,BLM-Utah,1,
UT,UT030,Regional,BRY,1,
UT,UT030,Local,,,
UT,UT060,Regional,BRY,1,
UT,UT060,Local,BLM-Utah,1,
UT,UT070,Regional,BRY,1,
UT,UT070,Local,BLM-Utah,1,
